trainno,trainKnd,upbdnbSe,wkndSe,lineNm,brlnNm,stnCd,stnNo,stnNm,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,trainDptreTm,trainArvlTm,etrnYn,lnkgTrainno,tmprTmtblYn,vldBgngDt,vldEndDt,crtrYmd
2022,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:19:40,07:19:12,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:22:42,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:59:00,,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:05:20,07:04:52,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:09:57,07:09:29,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:12:10,07:11:42,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:15:03,07:14:35,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:19:09,07:18:41,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:21:50,07:21:22,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:25:40,07:25:12,N,,N,2025-05-01T05:00:00,,20250619
2024,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:28:42,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:11:00,,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:17:20,07:16:52,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:21:57,07:21:29,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:24:10,07:23:42,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:27:03,07:26:35,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:31:09,07:30:41,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:33:50,07:33:22,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:37:40,07:37:12,N,,N,2025-05-01T05:00:00,,20250619
2028,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:40:42,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:17:00,,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:23:20,07:22:52,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:27:57,07:27:29,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:30:10,07:29:42,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:33:03,07:32:35,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:37:09,07:36:41,N,,N,2025-05-01T05:00:00,,20250619
